date,hour,min_value,avg_value,max_value
2022-01-03,01:10:00,75,75.0,75
2022-01-03,09:36:00,78,78.0,78
2022-01-03,09:46:00,82,82.0,82
2022-01-03,11:47:00,79,79.0,79
2022-01-03,12:18:00,81,81.0,81
2022-01-03,20:00:00,73,73.0,73
2022-01-03,20:45:00,80,80.0,80
2022-01-03,20:54:00,126,126.0,126
2022-01-03,03:29:00,64,64.0,64
2022-01-03,12:10:00,79,79.0,79
2022-01-03,17:36:00,83,83.0,83
2022-01-03,18:15:00,84,84.0,84
2022-01-03,23:57:00,80,80.0,80
2022-01-03,03:09:00,68,68.0,68
2022-01-03,09:51:00,80,80.0,80
2022-01-03,17:32:00,85,85.0,85
2022-01-03,17:46:00,76,76.0,76
2022-01-03,18:06:00,75,75.0,75
2022-01-03,20:39:00,82,82.0,82
2022-01-03,06:31:00,59,59.0,59
2022-01-03,06:51:00,56,56.0,56
2022-01-03,18:42:00,82,82.0,82
2022-01-03,23:29:00,73,73.0,73
2022-01-03,03:49:00,61,61.0,61
2022-01-03,06:57:00,68,68.0,68
2022-01-03,11:31:00,85,85.0,85
2022-01-03,16:12:00,76,76.0,76
2022-01-03,16:30:00,75,75.0,75
2022-01-03,18:24:00,81,81.0,81
2022-01-03,02:17:00,74,74.0,74
2022-01-03,03:16:00,65,65.0,65
2022-01-03,09:57:00,83,83.0,83
2022-01-03,10:31:00,64,64.0,64
2022-01-03,14:22:00,82,82.0,82
2022-01-03,16:19:00,79,79.0,79
2022-01-03,21:24:00,83,83.0,83
2022-01-03,22:58:00,74,74.0,74
2022-01-03,00:03:00,89,89.0,89
2022-01-03,03:01:00,66,66.0,66
2022-01-03,05:43:00,55,55.0,55
2022-01-03,10:05:00,76,76.0,76
2022-01-03,11:20:00,81,81.0,81
2022-01-03,18:44:00,83,83.0,83
2022-01-03,20:31:00,71,71.0,71
2022-01-03,22:17:00,85,85.0,85
2022-01-03,00:43:00,85,85.0,85
2022-01-03,04:24:00,59,59.0,59
2022-01-03,08:11:00,57,57.0,57
2022-01-03,11:53:00,81,81.0,81
2022-01-03,13:30:00,86,86.0,86
2022-01-03,13:55:00,80,80.0,80
2022-01-03,19:42:00,73,73.0,73
2022-01-03,20:25:00,76,76.0,76
2022-01-03,21:44:00,86,86.0,86
2022-01-03,21:49:00,87,87.0,87
2022-01-03,03:27:00,65,65.0,65
2022-01-03,04:17:00,62,62.0,62
2022-01-03,04:32:00,64,64.0,64
2022-01-03,08:26:00,56,56.0,56
2022-01-03,10:29:00,71,71.0,71
2022-01-03,13:38:00,73,73.0,73
2022-01-03,16:17:00,80,80.0,80
2022-01-03,17:31:00,84,84.0,84
2022-01-03,18:25:00,78,78.0,78
2022-01-03,18:28:00,78,78.0,78
2022-01-03,19:17:00,76,76.0,76
2022-01-03,21:45:00,82,82.0,82
2022-01-03,23:27:00,70,70.0,70
2022-01-03,00:31:00,88,88.0,88
2022-01-03,00:56:00,79,79.0,79
2022-01-03,11:49:00,78,78.0,78
2022-01-03,14:48:00,83,83.0,83
2022-01-03,15:09:00,84,84.0,84
2022-01-03,19:55:00,86,86.0,86
2022-01-03,20:37:00,77,77.0,77
2022-01-03,04:20:00,62,62.0,62
2022-01-03,09:27:00,100,100.0,100
2022-01-03,11:59:00,80,80.0,80
2022-01-03,13:16:00,72,72.0,72
2022-01-03,14:33:00,85,85.0,85
2022-01-03,20:52:00,112,112.0,112
2022-01-03,23:58:00,75,75.0,75
2022-01-03,02:13:00,90,90.0,90
2022-01-03,03:33:00,66,66.0,66
2022-01-03,03:45:00,63,63.0,63
2022-01-03,06:40:00,55,55.0,55
2022-01-03,08:29:00,67,67.0,67
2022-01-03,13:11:00,81,81.0,81
2022-01-03,18:57:00,77,77.0,77
2022-01-03,08:47:00,82,82.0,82
2022-01-03,08:50:00,75,75.0,75
2022-01-03,11:50:00,77,77.0,77
2022-01-03,14:20:00,81,81.0,81
2022-01-03,23:54:00,83,83.0,83
2022-01-03,00:16:00,86,86.0,86
2022-01-03,00:17:00,87,87.0,87
2022-01-03,00:42:00,79,79.0,79
2022-01-03,04:25:00,57,57.0,57
2022-01-03,08:35:00,90,90.0,90
2022-01-03,09:38:00,78,78.0,78
2022-01-03,10:10:00,73,73.0,73
2022-01-03,12:32:00,73,73.0,73
2022-01-03,18:31:00,78,78.0,78
2022-01-03,02:16:00,80,80.0,80
2022-01-03,04:57:00,62,62.0,62
2022-01-03,06:44:00,58,58.0,58
2022-01-03,07:42:00,57,57.0,57
2022-01-03,07:52:00,59,59.0,59
2022-01-03,10:56:00,73,73.0,73
2022-01-03,15:11:00,81,81.0,81
2022-01-03,15:20:00,86,86.0,86
2022-01-03,17:56:00,78,78.0,78
2022-01-03,21:18:00,82,82.0,82
2022-01-03,22:31:00,87,87.0,87
2022-01-03,03:03:00,66,66.0,66
2022-01-03,04:30:00,63,63.0,63
2022-01-03,05:46:00,56,56.0,56
2022-01-03,07:32:00,56,56.0,56
2022-01-03,14:25:00,85,85.0,85
2022-01-03,15:00:00,81,81.0,81
2022-01-03,19:57:00,79,79.0,79
2022-01-03,22:18:00,84,84.0,84
2022-01-03,02:40:00,72,72.0,72
2022-01-03,06:01:00,56,56.0,56
2022-01-03,06:21:00,58,58.0,58
2022-01-03,06:48:00,59,59.0,59
2022-01-03,08:59:00,81,81.0,81
2022-01-03,11:56:00,83,83.0,83
2022-01-03,12:36:00,76,76.0,76
2022-01-03,12:52:00,78,78.0,78
2022-01-03,15:15:00,74,74.0,74
2022-01-03,17:14:00,95,95.0,95
2022-01-03,19:30:00,78,78.0,78
2022-01-03,23:48:00,81,81.0,81
2022-01-03,07:09:00,65,65.0,65
2022-01-03,11:06:00,76,76.0,76
2022-01-03,13:23:00,90,90.0,90
2022-01-03,16:06:00,75,75.0,75
2022-01-03,16:32:00,75,75.0,75
2022-01-03,16:36:00,72,72.0,72
2022-01-03,21:13:00,82,82.0,82
2022-01-03,03:05:00,65,65.0,65
2022-01-03,08:14:00,54,54.0,54
2022-01-03,10:15:00,78,78.0,78
2022-01-03,21:33:00,80,80.0,80
2022-01-03,04:59:00,62,62.0,62
2022-01-03,05:11:00,54,54.0,54
2022-01-03,05:14:00,57,57.0,57
2022-01-03,07:10:00,67,67.0,67
2022-01-03,10:22:00,77,77.0,77
2022-01-03,10:23:00,74,74.0,74
2022-01-03,14:10:00,81,81.0,81
2022-01-03,15:59:00,78,78.0,78
2022-01-03,17:39:00,80,80.0,80
2022-01-03,18:53:00,76,76.0,76
2022-01-03,20:53:00,120,120.0,120
2022-01-03,03:14:00,66,66.0,66
2022-01-03,04:02:00,64,64.0,64
2022-01-03,10:01:00,81,81.0,81
2022-01-03,10:59:00,82,82.0,82
2022-01-03,11:30:00,94,94.0,94
2022-01-03,17:27:00,80,80.0,80
2022-01-03,00:25:00,85,85.0,85
2022-01-03,10:55:00,76,76.0,76
2022-01-03,13:49:00,106,106.0,106
2022-01-03,16:14:00,73,73.0,73
2022-01-03,18:12:00,83,83.0,83
2022-01-03,22:16:00,86,86.0,86
2022-01-03,02:37:00,68,68.0,68
2022-01-03,02:52:00,64,64.0,64
2022-01-03,03:50:00,65,65.0,65
2022-01-03,07:54:00,59,59.0,59
2022-01-03,15:51:00,74,74.0,74
2022-01-03,16:42:00,74,74.0,74
2022-01-03,19:14:00,95,95.0,95
2022-01-03,20:38:00,79,79.0,79
2022-01-03,03:41:00,59,59.0,59
2022-01-03,05:04:00,71,71.0,71
2022-01-03,09:49:00,80,80.0,80
2022-01-03,15:42:00,75,75.0,75
2022-01-03,22:43:00,79,79.0,79
2022-01-03,00:58:00,85,85.0,85
2022-01-03,01:28:00,81,81.0,81
2022-01-03,06:55:00,58,58.0,58
2022-01-03,08:54:00,75,75.0,75
2022-01-03,12:16:00,77,77.0,77
2022-01-03,12:28:00,76,76.0,76
2022-01-03,13:25:00,94,94.0,94
2022-01-03,13:52:00,94,94.0,94
2022-01-03,19:45:00,76,76.0,76
2022-01-03,22:19:00,79,79.0,79
2022-01-03,23:34:00,73,73.0,73
2022-01-03,09:19:00,76,76.0,76
2022-01-03,19:19:00,83,83.0,83
2022-01-03,20:04:00,71,71.0,71
2022-01-03,23:37:00,78,78.0,78
2022-01-03,00:40:00,83,83.0,83
2022-01-03,02:42:00,72,72.0,72
2022-01-03,03:59:00,72,72.0,72
2022-01-03,06:43:00,58,58.0,58
2022-01-03,07:39:00,56,56.0,56
2022-01-03,08:40:00,88,88.0,88
2022-01-03,10:02:00,77,77.0,77
2022-01-03,10:42:00,65,65.0,65
2022-01-03,15:04:00,84,84.0,84
2022-01-03,16:20:00,79,79.0,79
2022-01-03,23:08:00,71,71.0,71
2022-01-03,06:18:00,56,56.0,56
2022-01-03,06:37:00,60,60.0,60
2022-01-03,07:25:00,60,60.0,60
2022-01-03,10:21:00,82,82.0,82
2022-01-03,14:39:00,82,82.0,82
2022-01-03,17:00:00,78,78.0,78
2022-01-03,03:46:00,62,62.0,62
2022-01-03,06:45:00,58,58.0,58
2022-01-03,07:50:00,57,57.0,57
2022-01-03,08:21:00,56,56.0,56
2022-01-03,10:34:00,78,78.0,78
2022-01-03,13:46:00,102,102.0,102
2022-01-03,19:41:00,79,79.0,79
2022-01-03,04:12:00,65,65.0,65
2022-01-03,16:28:00,78,78.0,78
2022-01-03,17:33:00,85,85.0,85
2022-01-03,22:36:00,89,89.0,89
2022-01-03,02:22:00,66,66.0,66
2022-01-03,05:01:00,62,62.0,62
2022-01-03,13:20:00,76,76.0,76
2022-01-03,21:40:00,84,84.0,84
2022-01-03,00:45:00,87,87.0,87
2022-01-03,01:38:00,85,85.0,85
2022-01-03,12:37:00,80,80.0,80
2022-01-03,13:31:00,81,81.0,81
2022-01-03,22:41:00,86,86.0,86
2022-01-03,01:13:00,75,75.0,75
2022-01-03,08:09:00,56,56.0,56
2022-01-03,09:20:00,76,76.0,76
2022-01-03,13:47:00,102,102.0,102
2022-01-03,17:25:00,75,75.0,75
2022-01-03,20:59:00,85,85.0,85
2022-01-03,22:54:00,77,77.0,77
2022-01-03,23:06:00,76,76.0,76
2022-01-03,00:46:00,83,83.0,83
2022-01-03,02:20:00,69,69.0,69
2022-01-03,05:32:00,59,59.0,59
2022-01-03,06:27:00,59,59.0,59
2022-01-03,08:36:00,93,93.0,93
2022-01-03,17:30:00,90,90.0,90
2022-01-03,20:07:00,75,75.0,75
2022-01-03,21:14:00,81,81.0,81
2022-01-03,06:23:00,58,58.0,58
2022-01-03,13:21:00,77,77.0,77
2022-01-03,14:32:00,87,87.0,87
2022-01-03,15:17:00,82,82.0,82
2022-01-03,19:31:00,76,76.0,76
2022-01-03,19:33:00,80,80.0,80
2022-01-03,20:40:00,96,96.0,96
2022-01-03,03:37:00,64,64.0,64
2022-01-03,05:31:00,57,57.0,57
2022-01-03,06:25:00,60,60.0,60
2022-01-03,07:06:00,57,57.0,57
2022-01-03,10:51:00,72,72.0,72
2022-01-03,22:11:00,82,82.0,82
2022-01-03,23:05:00,74,74.0,74
2022-01-03,23:46:00,83,83.0,83
2022-01-03,00:11:00,88,88.0,88
2022-01-03,02:36:00,69,69.0,69
2022-01-03,02:51:00,69,69.0,69
2022-01-03,04:18:00,61,61.0,61
2022-01-03,06:05:00,55,55.0,55
2022-01-03,18:41:00,80,80.0,80
2022-01-03,21:19:00,83,83.0,83
2022-01-03,06:33:00,60,60.0,60
2022-01-03,09:14:00,74,74.0,74
2022-01-03,13:14:00,75,75.0,75
2022-01-03,21:50:00,89,89.0,89
2022-01-03,23:01:00,76,76.0,76
2022-01-03,00:51:00,77,77.0,77
2022-01-03,05:33:00,60,60.0,60
2022-01-03,06:15:00,53,53.0,53
2022-01-03,12:23:00,80,80.0,80
2022-01-03,15:27:00,79,79.0,79
2022-01-03,15:41:00,71,71.0,71
2022-01-03,19:22:00,83,83.0,83
2022-01-03,19:34:00,81,81.0,81
2022-01-03,19:38:00,82,82.0,82
2022-01-03,22:23:00,81,81.0,81
2022-01-03,23:12:00,79,79.0,79
2022-01-03,23:31:00,73,73.0,73
2022-01-03,01:48:00,73,73.0,73
2022-01-03,06:02:00,55,55.0,55
2022-01-03,09:32:00,99,99.0,99
2022-01-03,10:44:00,68,68.0,68
2022-01-03,11:24:00,77,77.0,77
2022-01-03,11:32:00,81,81.0,81
2022-01-03,19:28:00,81,81.0,81
2022-01-03,23:53:00,83,83.0,83
2022-01-03,05:48:00,57,57.0,57
2022-01-03,10:33:00,76,76.0,76
2022-01-03,12:06:00,83,83.0,83
2022-01-03,13:07:00,98,98.0,98
2022-01-03,13:43:00,82,82.0,82
2022-01-03,17:20:00,91,91.0,91
2022-01-03,23:03:00,74,74.0,74
2022-01-03,10:39:00,78,78.0,78
2022-01-03,13:03:00,91,91.0,91
2022-01-03,16:21:00,79,79.0,79
2022-01-03,16:35:00,77,77.0,77
2022-01-03,17:57:00,76,76.0,76
2022-01-03,00:26:00,85,85.0,85
2022-01-03,03:04:00,65,65.0,65
2022-01-03,03:11:00,64,64.0,64
2022-01-03,05:53:00,72,72.0,72
2022-01-03,07:04:00,54,54.0,54
2022-01-03,12:47:00,80,80.0,80
2022-01-03,14:51:00,84,84.0,84
2022-01-03,16:26:00,77,77.0,77
2022-01-03,17:44:00,79,79.0,79
2022-01-03,18:50:00,78,78.0,78
2022-01-03,19:11:00,84,84.0,84
2022-01-03,03:22:00,64,64.0,64
2022-01-03,05:59:00,55,55.0,55
2022-01-03,07:26:00,61,61.0,61
2022-01-03,01:36:00,90,90.0,90
2022-01-03,04:49:00,61,61.0,61
2022-01-03,14:28:00,86,86.0,86
2022-01-03,15:14:00,81,81.0,81
2022-01-03,19:00:00,81,81.0,81
2022-01-03,00:08:00,88,88.0,88
2022-01-03,00:54:00,78,78.0,78
2022-01-03,01:01:00,80,80.0,80
2022-01-03,01:41:00,87,87.0,87
2022-01-03,04:00:00,72,72.0,72
2022-01-03,04:42:00,63,63.0,63
2022-01-03,05:21:00,57,57.0,57
2022-01-03,05:26:00,58,58.0,58
2022-01-03,08:19:00,59,59.0,59
2022-01-03,00:28:00,88,88.0,88
2022-01-03,00:35:00,80,80.0,80
2022-01-03,05:55:00,56,56.0,56
2022-01-03,07:53:00,59,59.0,59
2022-01-03,08:44:00,92,92.0,92
2022-01-03,10:36:00,74,74.0,74
2022-01-03,10:50:00,69,69.0,69
2022-01-03,14:24:00,80,80.0,80
2022-01-03,16:00:00,75,75.0,75
2022-01-03,18:20:00,80,80.0,80
2022-01-03,20:23:00,72,72.0,72
2022-01-03,22:10:00,80,80.0,80
2022-01-03,11:33:00,79,79.0,79
2022-01-03,13:32:00,73,73.0,73
2022-01-03,14:42:00,82,82.0,82
2022-01-03,15:19:00,86,86.0,86
2022-01-03,18:03:00,76,76.0,76
2022-01-03,18:45:00,83,83.0,83
2022-01-03,20:26:00,80,80.0,80
2022-01-03,21:37:00,84,84.0,84
2022-01-03,22:14:00,87,87.0,87
2022-01-03,04:03:00,62,62.0,62
2022-01-03,08:04:00,57,57.0,57
2022-01-03,10:49:00,78,78.0,78
2022-01-03,21:29:00,84,84.0,84
2022-01-03,22:26:00,81,81.0,81
2022-01-03,07:38:00,53,53.0,53
2022-01-03,10:00:00,82,82.0,82
2022-01-03,11:17:00,84,84.0,84
2022-01-03,13:10:00,88,88.0,88
2022-01-03,15:54:00,78,78.0,78
2022-01-03,19:01:00,88,88.0,88
2022-01-03,19:10:00,79,79.0,79
2022-01-03,05:56:00,54,54.0,54
2022-01-03,06:50:00,85,85.0,85
2022-01-03,12:26:00,79,79.0,79
2022-01-03,18:04:00,73,73.0,73
2022-01-03,19:21:00,82,82.0,82
2022-01-03,20:18:00,71,71.0,71
2022-01-03,01:25:00,91,91.0,91
2022-01-03,02:09:00,73,73.0,73
2022-01-03,02:24:00,70,70.0,70
2022-01-03,02:53:00,64,64.0,64
2022-01-03,14:35:00,90,90.0,90
2022-01-03,16:47:00,89,89.0,89
2022-01-03,18:40:00,75,75.0,75
2022-01-03,19:20:00,81,81.0,81
2022-01-03,02:35:00,88,88.0,88
2022-01-03,10:30:00,77,77.0,77
2022-01-03,17:06:00,84,84.0,84
2022-01-03,23:19:00,70,70.0,70
2022-01-03,04:45:00,62,62.0,62
2022-01-03,06:03:00,56,56.0,56
2022-01-03,08:41:00,93,93.0,93
2022-01-03,09:42:00,78,78.0,78
2022-01-03,14:06:00,79,79.0,79
2022-01-03,15:44:00,77,77.0,77
2022-01-03,15:53:00,79,79.0,79
2022-01-03,16:54:00,77,77.0,77
2022-01-03,18:52:00,84,84.0,84
2022-01-03,03:25:00,64,64.0,64
2022-01-03,05:23:00,56,56.0,56
2022-01-03,06:08:00,60,60.0,60
2022-01-03,08:45:00,92,92.0,92
2022-01-03,11:04:00,73,73.0,73
2022-01-03,05:35:00,63,63.0,63
2022-01-03,06:07:00,57,57.0,57
2022-01-03,14:46:00,82,82.0,82
2022-01-03,17:19:00,90,90.0,90
2022-01-03,21:26:00,83,83.0,83
2022-01-03,22:52:00,85,85.0,85
2022-01-03,05:28:00,53,53.0,53
2022-01-03,06:11:00,56,56.0,56
2022-01-03,07:16:00,53,53.0,53
2022-01-03,11:02:00,76,76.0,76
2022-01-03,11:26:00,84,84.0,84
2022-01-03,12:34:00,78,78.0,78
2022-01-03,14:52:00,83,83.0,83
2022-01-03,16:45:00,88,88.0,88
2022-01-03,19:15:00,81,81.0,81
2022-01-03,21:20:00,82,82.0,82
2022-01-03,04:46:00,63,63.0,63
2022-01-03,06:04:00,56,56.0,56
2022-01-03,07:19:00,54,54.0,54
2022-01-03,08:13:00,56,56.0,56
2022-01-03,08:58:00,87,87.0,87
2022-01-03,09:03:00,73,73.0,73
2022-01-03,09:43:00,83,83.0,83
2022-01-03,09:53:00,81,81.0,81
2022-01-03,18:26:00,77,77.0,77
2022-01-03,03:00:00,66,66.0,66
2022-01-03,03:17:00,64,64.0,64
2022-01-03,03:52:00,62,62.0,62
2022-01-03,09:15:00,85,85.0,85
2022-01-03,16:07:00,74,74.0,74
2022-01-03,23:43:00,79,79.0,79
2022-01-03,00:33:00,89,89.0,89
2022-01-03,01:49:00,73,73.0,73
2022-01-03,01:52:00,73,73.0,73
2022-01-03,01:58:00,74,74.0,74
2022-01-03,04:01:00,72,72.0,72
2022-01-03,06:30:00,60,60.0,60
2022-01-03,07:15:00,59,59.0,59
2022-01-03,11:52:00,76,76.0,76
2022-01-03,11:58:00,84,84.0,84
2022-01-03,12:20:00,78,78.0,78
2022-01-03,12:45:00,78,78.0,78
2022-01-03,15:08:00,85,85.0,85
2022-01-03,23:28:00,74,74.0,74
2022-01-03,11:11:00,73,73.0,73
2022-01-03,15:16:00,84,84.0,84
2022-01-03,15:57:00,73,73.0,73
2022-01-03,17:04:00,74,74.0,74
2022-01-03,18:51:00,78,78.0,78
2022-01-03,23:14:00,75,75.0,75
2022-01-03,03:55:00,66,66.0,66
2022-01-03,05:18:00,57,57.0,57
2022-01-03,07:28:00,62,62.0,62
2022-01-03,13:33:00,75,75.0,75
2022-01-03,17:48:00,80,80.0,80
2022-01-03,00:18:00,87,87.0,87
2022-01-03,01:50:00,73,73.0,73
2022-01-03,02:41:00,70,70.0,70
2022-01-03,04:41:00,62,62.0,62
2022-01-03,05:16:00,57,57.0,57
2022-01-03,09:17:00,75,75.0,75
2022-01-03,09:24:00,96,96.0,96
2022-01-03,10:04:00,82,82.0,82
2022-01-03,19:08:00,76,76.0,76
2022-01-03,10:37:00,79,79.0,79
2022-01-03,11:18:00,86,86.0,86
2022-01-03,14:00:00,80,80.0,80
2022-01-03,15:34:00,74,74.0,74
2022-01-03,19:59:00,81,81.0,81
2022-01-03,20:02:00,74,74.0,74
2022-01-03,21:09:00,85,85.0,85
2022-01-03,22:08:00,68,68.0,68
